id_num,name,log_timestamp,log_type
101,Alice Smith,2023-10-01 07:55:00,in
101,Alice Smith,2023-10-01 12:05:00,out
101,Alice Smith,2023-10-01 12:55:00,in
101,Alice Smith,2023-10-01 17:05:00,out
102,Bob Jones,2023-10-01 08:10:00,in
102,Bob Jones,2023-10-01 12:02:00,out
102,Bob Jones,2023-10-01 13:05:00,in
102,Bob Jones,2023-10-01 17:15:00,out
201,Charlie Brown,2023-10-01 07:45:00,in
201,Charlie Brown,2023-10-01 12:15:00,out
201,Charlie Brown,2023-10-01 12:50:00,in
201,Charlie Brown,2023-10-01 17:30:00,out
301,David Miller,2023-10-01 08:00:00,in
301,David Miller,2023-10-01 12:00:00,out
301,David Miller,2023-10-01 13:00:00,in
301,David Miller,2023-10-01 17:00:00,out
101,Alice Smith,2023-10-02 07:50:00,in
101,Alice Smith,2023-10-02 12:10:00,out
101,Alice Smith,2023-10-02 13:00:00,in
101,Alice Smith,2023-10-02 17:00:00,out
102,Bob Jones,2023-10-02 08:05:00,in
102,Bob Jones,2023-10-02 12:05:00,out
102,Bob Jones,2023-10-02 13:10:00,in
102,Bob Jones,2023-10-02 17:10:00,out
201,Charlie Brown,2023-10-02 07:55:00,in
201,Charlie Brown,2023-10-02 12:05:00,out
201,Charlie Brown,2023-10-02 13:05:00,in
201,Charlie Brown,2023-10-02 17:05:00,out
301,David Miller,2023-10-02 08:15:00,in
301,David Miller,2023-10-02 12:15:00,out
301,David Miller,2023-10-02 13:15:00,in
301,David Miller,2023-10-02 17:15:00,out
